date,day,start_time,end_time,duration,session,sl_size_pips,max_rr,max_rr_to_be,htf_strength,trade_strength,final_probability,entry_model,direction,taken,exit_reason,terminal_r,sl_buffer_pips,tp_multiple,min_live_probability,year
Oct 1 2015,Thursday,09:15,03:00,17:45,London,26.1,2.54,2.54,45.45%,53.85%,52.13%,LC-2A,bearish,True,be_stop,0.0,2.0,,51.16%,2015
Oct 20 2015,Tuesday,17:15,19:00,01:45,New York,29.3,0.62,0.62,14.29%,35.71%,40.70%,CE,bullish,True,be_stop,0.0,2.0,,37.21%,2015
Oct 23 2015,Friday,14:00,19:00,05:00,New York,53.15,0.67,,15.22%,25.00%,31.82%,CE,bullish,True,friday_close,0.4751,2.0,,20.00%,2015
Nov 12 2015,Thursday,07:15,08:00,00:45,London,21.8,0.0,,21.74%,33.82%,31.82%,LC-2A,bullish,True,sl,-1.0,2.0,,31.82%,2015
Nov 18 2015,Wednesday,08:30,08:00,47:30,London,22.9,5.63,2.33,3.57%,21.43%,6.67%,LC-1,bullish,True,be_stop,0.0,2.0,,13.75%,2015
Nov 18 2015,Wednesday,08:15,09:00,00:45,London,18.7,0.0,,18.75%,32.35%,40.57%,LC-2A,bearish,True,sl,-1.0,2.0,,40.57%,2015
Nov 25 2015,Wednesday,14:15,19:00,04:45,New York,25.1,1.83,,30.00%,40.00%,34.78%,LC-2A,bearish,True,cut_19h,-0.243,2.0,,40.00%,2015
Nov 26 2015,Thursday,09:30,10:00,00:30,London,12.0,0.0,,-4.35%,6.76%,9.21%,LC-2A,bullish,True,sl,-1.0,2.0,,9.21%,2015
Dec 15 2015,Tuesday,14:30,03:00,60:30,New York,25.4,6.02,3.98,30.36%,23.17%,37.80%,LC-2A,bearish,True,be_stop,0.0,2.0,,36.67%,2015
Dec 21 2015,Monday,12:15,22:00,153:45,New York,15.4,11.69,5.28,54.35%,63.51%,54.55%,LC-1,bearish,True,friday_close,11.3896,2.0,,48.28%,2015
Dec 23 2015,Wednesday,09:45,19:00,09:15,London,26.8,1.6,1.6,-36.96%,7.45%,10.64%,LC-1,bullish,True,be_stop,0.0,2.0,,10.64%,2015
Jan 6 2016,Wednesday,14:00,19:00,05:00,New York,31.8,1.2,1.2,60.87%,48.28%,59.09%,LC-2A,bearish,True,be_stop,0.0,2.0,,50.00%,2016
Jan 6 2016,Wednesday,14:15,19:00,04:45,New York,35.9,0.92,0.92,60.87%,53.45%,63.64%,LC-2A,bearish,False,be_stop,0.0,2.0,,55.00%,2016
Jan 13 2016,Wednesday,12:15,19:00,06:45,New York,35.9,2.43,2.43,-20.00%,9.30%,9.21%,LC-2A,bullish,True,be_stop,0.0,2.0,,11.36%,2016
Jan 28 2016,Thursday,08:30,19:00,34:30,London,51.5,9.44,3.57,25.00%,42.86%,35.23%,CE,bullish,True,friday_close,6.0563,2.0,,40.00%,2016
Jan 28 2016,Thursday,14:30,01:00,10:30,New York,64.05,1.48,1.48,2.17%,15.62%,25.00%,CE,bullish,True,be_stop,0.0,2.0,,12.90%,2016
Feb 2 2016,Tuesday,09:15,15:00,05:45,London,25.8,4.6,,27.42%,32.14%,26.83%,LC-2A,bullish,True,sl,-1.0,2.0,,25.00%,2016
Feb 2 2016,Tuesday,14:15,15:00,00:45,New York,23.4,1.2,,27.42%,21.05%,21.25%,LC-2A,bullish,False,sl,-1.0,2.0,,21.25%,2016
Feb 5 2016,Friday,07:15,19:00,11:45,London,29.2,3.42,,41.30%,40.79%,22.97%,LC-1,bearish,True,friday_close,2.1267,2.0,,25.00%,2016
Feb 12 2016,Friday,12:45,18:00,05:15,New York,38.5,2.02,,60.87%,41.67%,51.61%,LC-1,bearish,True,sl,-1.0,2.0,,41.67%,2016
Feb 15 2016,Monday,08:15,00:00,15:45,London,53.8,0.9,0.83,-10.87%,27.78%,29.09%,LC-2A,bullish,True,be_stop,0.0,2.0,,27.78%,2016
Feb 18 2016,Thursday,09:00,20:00,11:00,London,29.5,4.89,4.89,-23.91%,4.17%,-1.47%,LC-2A,bullish,True,be_stop,0.0,2.0,,-7.81%,2016
Mar 3 2016,Thursday,09:15,19:00,33:45,London,27.2,7.62,2.29,3.57%,17.11%,5.71%,LC-2A,bullish,True,friday_close,7.5515,2.0,,17.50%,2016
Mar 10 2016,Thursday,08:45,12:00,03:15,London,23.4,2.36,,31.25%,32.50%,34.15%,LC-2A,bearish,True,sl,-1.0,2.0,,32.50%,2016
Mar 10 2016,Thursday,08:45,12:00,03:15,London,23.4,2.36,,31.25%,32.50%,34.15%,LC-2A,bearish,False,sl,-1.0,2.0,,32.50%,2016
Mar 10 2016,Thursday,13:00,19:00,06:00,New York,49.3,3.1,,8.70%,23.08%,18.18%,CE,bullish,True,cut_19h,-0.1501,2.0,,1.72%,2016
Mar 15 2016,Tuesday,12:15,13:00,00:45,New York,23.8,1.5,,8.70%,10.00%,12.90%,LC-2A,bullish,True,sl,-1.0,2.0,,12.90%,2016
Apr 26 2016,Tuesday,07:45,08:00,00:15,London,31.35,0.8,,15.22%,27.27%,29.41%,CE,bearish,True,sl,-1.0,2.0,,29.41%,2016
Apr 26 2016,Tuesday,13:00,04:00,39:00,New York,37.5,3.31,3.01,28.00%,25.00%,27.03%,CE,bullish,True,be_stop,0.0,2.0,,25.00%,2016
Apr 28 2016,Thursday,09:15,19:00,09:45,London,58.8,1.43,1.43,21.74%,36.17%,35.71%,LC-1,bearish,True,be_stop,0.0,2.0,,21.05%,2016
May 5 2016,Thursday,08:30,09:00,00:30,London,39.2,0.36,,28.26%,48.78%,48.78%,LC-2A,bearish,True,sl,-1.0,2.0,,48.78%,2016
May 9 2016,Monday,08:30,09:00,00:30,London,25.75,0.0,,40.00%,48.68%,44.29%,CE,bearish,True,sl,-1.0,2.0,,44.29%,2016
May 16 2016,Monday,09:15,14:00,04:45,London,32.7,0.87,,21.74%,37.80%,41.46%,CE,bearish,True,sl,-1.0,2.0,,41.46%,2016
May 16 2016,Monday,13:15,14:00,00:45,New York,20.5,0.0,,28.26%,34.15%,41.67%,LC-2A,bearish,False,sl,-1.0,2.0,,41.67%,2016
May 24 2016,Tuesday,14:15,15:00,00:45,New York,35.4,0.0,,6.90%,12.79%,21.25%,LC-2A,bearish,True,sl,-1.0,2.0,,21.25%,2016
Jun 13 2016,Monday,07:30,08:00,00:30,London,36.4,0.0,,54.35%,48.28%,55.00%,LC-1,bearish,True,sl,-1.0,2.0,,55.00%,2016
Jun 17 2016,Friday,07:30,19:00,11:30,London,35.2,2.55,,-17.39%,8.70%,9.38%,LC-1,bullish,True,friday_close,2.5,2.0,,0.00%,2016
Jul 25 2016,Monday,08:00,04:00,44:00,London,50.4,7.28,1.7,32.76%,50.00%,45.74%,CE,bearish,True,be_stop,0.0,2.0,,39.36%,2016
Jul 28 2016,Thursday,13:30,18:00,04:30,New York,31.4,1.12,,41.30%,46.77%,50.00%,LC-2A,bearish,True,sl,-1.0,2.0,,50.00%,2016
Aug 2 2016,Tuesday,08:15,11:00,26:45,London,37.0,3.36,3.36,73.91%,61.29%,62.50%,LC-2A,bearish,True,be_stop,0.0,2.0,,61.29%,2016
Aug 2 2016,Tuesday,08:15,11:00,26:45,London,37.0,3.36,3.36,57.14%,50.00%,56.10%,LC-2A,bearish,False,be_stop,0.0,2.0,,54.17%,2016
Aug 9 2016,Tuesday,08:15,10:00,01:45,London,22.9,0.76,,-8.62%,15.22%,18.75%,LC-2A,bullish,True,sl,-1.0,2.0,,15.22%,2016
Sep 7 2016,Wednesday,08:15,09:00,00:45,London,18.3,0.0,,8.70%,13.75%,17.50%,LC-2B,bearish,True,sl,-1.0,2.0,,17.50%,2016
Sep 7 2016,Wednesday,14:30,01:00,10:30,New York,52.3,0.71,0.71,15.22%,28.95%,35.71%,CE,bearish,True,be_stop,0.0,2.0,,26.92%,2016
Sep 7 2016,Wednesday,15:00,19:00,04:00,New York,36.2,0.37,0.37,15.22%,30.77%,45.83%,LC-2A,bearish,False,be_stop,0.0,2.0,,33.82%,2016
Sep 19 2016,Monday,14:15,02:00,11:45,New York,21.3,2.55,2.55,64.00%,50.00%,52.86%,LC-2B,bearish,True,be_stop,0.0,2.0,,48.44%,2016
Sep 19 2016,Monday,14:15,02:00,11:45,New York,21.3,2.55,2.55,58.00%,45.45%,48.57%,LC-2B,bearish,False,be_stop,0.0,2.0,,43.75%,2016
Sep 29 2016,Thursday,08:30,09:00,00:30,London,18.2,0.0,,-10.87%,6.25%,-5.00%,LC-1,bullish,True,sl,-1.0,2.0,,-5.00%,2016
Oct 4 2016,Tuesday,08:15,10:00,01:45,London,35.6,0.04,,-23.91%,2.50%,3.57%,LC-2A,bullish,True,sl,-1.0,2.0,,1.22%,2016
Oct 14 2016,Friday,14:15,16:00,01:45,New York,42.7,0.12,,1.72%,23.40%,28.12%,LC-1,bullish,True,sl,-1.0,2.0,,26.53%,2016
Nov 2 2016,Wednesday,07:30,12:00,04:30,London,21.0,1.53,,47.83%,64.47%,63.51%,LC-1,bearish,True,sl,-1.0,2.0,,63.51%,2016
Nov 2 2016,Wednesday,09:15,12:00,02:45,London,21.9,1.15,,47.83%,61.54%,59.46%,LC-1,bearish,False,sl,-1.0,2.0,,59.46%,2016
Nov 22 2016,Tuesday,13:00,15:00,02:00,New York,24.7,0.91,,25.00%,18.18%,14.77%,LC-1,bearish,True,sl,-1.0,2.0,,14.77%,2016
Dec 6 2016,Tuesday,08:00,12:00,04:00,London,25.3,1.25,,15.22%,25.00%,33.82%,LC-1,bullish,True,sl,-1.0,2.0,,25.00%,2016
Dec 9 2016,Friday,13:15,19:00,05:45,New York,41.2,0.61,,2.17%,34.00%,32.65%,LC-2A,bearish,True,friday_close,-0.0049,2.0,,31.25%,2016
Dec 13 2016,Tuesday,08:00,16:00,08:00,London,33.1,1.59,,21.74%,22.41%,25.00%,LC-1,bullish,True,sl,-1.0,2.0,,22.41%,2016
Dec 14 2016,Wednesday,08:45,09:00,00:15,London,17.3,0.0,,2.17%,18.48%,21.74%,LC-2A,bearish,True,sl,-1.0,2.0,,21.74%,2016
Dec 14 2016,Wednesday,14:15,15:00,00:45,New York,20.9,0.0,,16.18%,18.75%,22.00%,LC-2A,bearish,True,sl,-1.0,2.0,,22.00%,2016
Dec 28 2016,Wednesday,15:45,12:00,44:15,New York,57.55,3.3,1.66,21.74%,28.95%,21.59%,CE,bearish,True,be_stop,0.0,2.0,,27.03%,2016
Jan 12 2017,Thursday,13:15,14:00,00:45,New York,25.0,0.53,,-33.33%,2.63%,-2.00%,LC-1,bullish,True,sl,-1.0,2.0,,-2.00%,2017
Jan 27 2017,Friday,08:45,10:00,01:15,London,21.9,0.84,,18.75%,37.50%,39.19%,LC-2A,bullish,True,sl,-1.0,2.0,,37.50%,2017
Jan 27 2017,Friday,10:15,11:00,00:45,London,21.7,0.0,,18.75%,43.24%,40.00%,LC-1,bullish,False,sl,-1.0,2.0,,40.00%,2017
Feb 6 2017,Monday,09:45,20:00,34:15,London,29.75,6.54,4.24,25.00%,33.33%,27.14%,CE,bearish,True,be_stop,0.0,2.0,,33.33%,2017
Feb 9 2017,Thursday,12:30,13:00,00:30,New York,20.9,0.33,,50.00%,44.57%,38.04%,LC-2A,bearish,True,sl,-1.0,2.0,,38.04%,2017
Feb 9 2017,Thursday,12:30,13:00,00:30,New York,20.9,0.33,,40.00%,39.36%,39.36%,LC-2A,bearish,False,sl,-1.0,2.0,,39.36%,2017
Feb 17 2017,Friday,08:00,19:00,11:00,London,19.05,10.57,,8.93%,25.00%,35.71%,CE,bearish,True,friday_close,6.9528,2.0,,29.41%,2017
Feb 20 2017,Monday,08:15,10:00,49:45,London,19.9,6.8,2.89,-10.87%,11.54%,17.11%,LC-1,bullish,True,be_stop,0.0,2.0,,10.00%,2017
Mar 6 2017,Monday,09:30,15:00,05:30,London,17.0,1.32,,-3.85%,14.29%,23.53%,LC-2A,bullish,True,sl,-1.0,2.0,,14.77%,2017
Mar 23 2017,Thursday,09:15,13:00,03:45,London,24.4,1.64,,-12.50%,26.74%,20.00%,LC-2A,bullish,True,sl,-1.0,2.0,,16.28%,2017
Mar 30 2017,Thursday,09:15,19:00,33:45,London,23.3,9.15,5.77,2.17%,23.40%,33.33%,LC-2A,bullish,True,friday_close,7.176,2.0,,12.90%,2017
Apr 6 2017,Thursday,07:15,02:00,18:45,London,23.5,3.0,3.0,10.00%,23.40%,16.35%,LC-2A,bullish,True,be_stop,0.0,2.0,,16.00%,2017
Apr 6 2017,Thursday,07:15,02:00,18:45,London,23.5,3.0,3.0,4.00%,21.43%,13.83%,LC-2A,bullish,False,be_stop,0.0,2.0,,13.33%,2017
Apr 25 2017,Tuesday,08:30,09:00,00:30,London,16.1,0.0,,8.70%,5.71%,8.33%,LC-2A,bearish,True,sl,-1.0,2.0,,8.33%,2017
May 2 2017,Tuesday,07:15,19:00,83:45,London,20.9,8.15,3.28,31.25%,36.36%,27.59%,CE,bullish,True,friday_close,8.1196,2.0,,30.00%,2017
