date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,sl_size,probability,result,max_r_reached,trade_duration,slb
2021-01-08,Friday,london,2021-01-08 08:00:00+00:00,2021-01-08 13:00:00+00:00,bearish,1.22236,1.2277,1.2090099999999997,0.005340000000000122,5.56028369936154,loss,0.1161048689138256,0 days 05:00:00,6.399999999999739
2021-01-11,Monday,london,2021-01-11 09:00:00+00:00,2021-02-04 09:00:00+00:00,bearish,1.21605,1.22284,1.1990750000000006,0.006789999999999852,49.16043948886538,win,3.067746686303473,24 days 00:00:00,0.0
2021-01-11,Monday,ny,2021-01-11 13:00:00+00:00,2021-01-12 19:00:00+00:00,bearish,1.21444,1.21998,1.2005899999999996,0.0055400000000001,49.16043948886538,loss,0.2220216606498271,1 days 06:00:00,8.20000000000043
2021-01-14,Thursday,london,2021-01-14 08:00:00+00:00,2021-01-14 12:00:00+00:00,bullish,1.21585,1.21355,1.2216000000000005,0.0023000000000001908,31.309419590513386,loss,0.3869565217390268,0 days 04:00:00,24.499999999998412
2021-01-14,Thursday,ny,2021-01-14 12:00:00+00:00,2021-01-14 17:00:00+00:00,bearish,1.21294,1.21674,1.2034399999999998,0.0038000000000000256,40.83697588988295,loss,0.48421052631574457,0 days 05:00:00,10.000000000001119
2021-01-15,Friday,ny,2021-01-15 13:00:00+00:00,2021-01-19 14:00:00+00:00,bearish,1.21159,1.21443,1.20449,0.0028399999999999537,49.16043948886538,loss,2.1971830985915934,4 days 01:00:00,0.0
2021-01-18,Monday,london,2021-01-18 09:00:00+00:00,2021-01-19 00:00:00+00:00,bearish,1.2062,1.20867,1.2000250000000001,0.0024699999999999722,49.16043948886538,loss,0.34412955465588135,0 days 15:00:00,10.100000000001774
2021-01-25,Monday,london,2021-01-25 09:00:00+00:00,2021-02-01 20:00:00+00:00,bearish,1.21475,1.21832,1.205825,0.003570000000000073,21.653606645788166,win,5.470588235294019,7 days 11:00:00,0.0
2021-01-25,Monday,ny,2021-01-25 14:00:00+00:00,2021-02-04 17:00:00+00:00,bearish,1.21207,1.21832,1.1964449999999998,0.006250000000000089,11.885723198762062,win,2.695999999999967,10 days 03:00:00,0.0
2021-02-01,Monday,london,2021-02-01 08:00:00+00:00,2021-02-04 14:00:00+00:00,bearish,1.20888,1.21329,1.197855,0.004410000000000025,12.947088793981184,win,3.097505668934224,3 days 06:00:00,0.0
2021-02-03,Wednesday,london,2021-02-03 08:00:00+00:00,2021-02-04 09:00:00+00:00,bearish,1.20312,1.205,1.1984199999999996,0.0018800000000001038,85.99873313136698,win,4.202127659574246,1 days 01:00:00,0.0
2021-02-04,Thursday,london,2021-02-04 08:00:00+00:00,2021-02-05 18:00:00+00:00,bearish,1.19931,1.20427,1.1869100000000006,0.004959999999999853,85.99873313136698,loss,0.8245967741936028,1 days 10:00:00,6.900000000000794
2021-02-04,Thursday,ny,2021-02-04 14:00:00+00:00,2021-02-05 18:00:00+00:00,bearish,1.19808,1.20427,1.1826050000000001,0.006189999999999918,85.99873313136698,loss,0.4620355411954964,1 days 04:00:00,6.900000000000794
2021-02-16,Tuesday,ny,2021-02-16 13:00:00+00:00,2021-02-22 13:00:00+00:00,bearish,1.21081,1.21501,1.20031,0.0041999999999999815,37.77444961092648,loss,2.021428571428553,6 days 00:00:00,6.200000000000649
2021-02-17,Wednesday,london,2021-02-17 07:00:00+00:00,2021-02-19 00:00:00+00:00,bearish,1.2074,1.20982,1.2013500000000004,0.0024199999999998667,57.01557254746603,loss,2.0991735537191127,1 days 17:00:00,15.400000000000968
2021-02-22,Monday,london,2021-02-22 07:00:00+00:00,2021-02-22 11:00:00+00:00,bearish,1.21096,1.21355,1.2044850000000005,0.00258999999999987,57.82922381335742,loss,0.7142857142858,0 days 04:00:00,5.20000000000076
2021-02-24,Wednesday,ny,2021-02-24 13:00:00+00:00,2021-02-25 04:00:00+00:00,bearish,1.21333,1.21745,1.2030300000000003,0.0041199999999999015,33.70708122546104,loss,0.5849514563106992,0 days 15:00:00,8.300000000001084
2021-03-01,Monday,london,2021-03-01 08:00:00+00:00,2021-03-02 20:00:00+00:00,bearish,1.20549,1.20928,1.196015,0.00378999999999996,63.1617063574984,loss,1.6701846965699243,1 days 12:00:00,0.0
2021-03-02,Tuesday,london,2021-03-02 07:00:00+00:00,2021-03-02 15:00:00+00:00,bearish,1.20072,1.20506,1.18987,0.0043400000000000105,55.77957453069964,loss,0.35944700460829543,0 days 08:00:00,29.90000000000048
2021-03-04,Thursday,london,2021-03-04 08:00:00+00:00,2021-03-04 18:00:00+00:00,bearish,1.20405,1.2063,1.1984250000000003,0.0022499999999998632,78.6166013045682,win,10.0,0 days 10:00:00,0.0
2021-03-05,Friday,london,2021-03-05 07:00:00+00:00,2021-03-08 07:00:00+00:00,bearish,1.19502,1.19777,1.188145,0.00275000000000003,78.6166013045682,win,4.170909090908998,3 days 00:00:00,0.0
2021-03-08,Monday,ny,2021-03-08 12:00:00+00:00,2021-03-09 11:00:00+00:00,bearish,1.18617,1.19145,1.17297,0.005279999999999951,100.0,loss,0.49621212121209635,0 days 23:00:00,0.0
2021-03-16,Tuesday,ny,2021-03-16 13:00:00+00:00,2021-03-17 18:00:00+00:00,bearish,1.19025,1.19518,1.1779250000000003,0.004929999999999879,91.67653640101757,loss,0.417849898580122,1 days 05:00:00,31.000000000001027
2021-03-17,Wednesday,london,2021-03-17 07:00:00+00:00,2021-03-17 09:00:00+00:00,bearish,1.18911,1.19061,1.1853599999999997,0.0015000000000000568,100.0,loss,0.33333333333328397,0 days 02:00:00,9.300000000000974
2021-03-19,Friday,ny,2021-03-19 13:00:00+00:00,2021-03-22 15:00:00+00:00,bearish,1.18811,1.19371,1.1741099999999998,0.005600000000000049,91.67653640101757,loss,0.18392857142858524,3 days 02:00:00,9.699999999999154
2021-03-23,Tuesday,ny,2021-03-23 13:00:00+00:00,2021-03-30 13:00:00+00:00,bearish,1.18728,1.19318,1.1725299999999999,0.005900000000000016,91.67653640101757,win,2.8610169491524977,7 days 00:00:00,0.0
2021-03-24,Wednesday,london,2021-03-24 07:00:00+00:00,2021-03-30 06:00:00+00:00,bearish,1.18206,1.18508,1.1745100000000006,0.0030199999999998006,100.0,win,3.860927152318137,5 days 23:00:00,0.0
2021-03-25,Thursday,ny,2021-03-25 12:00:00+00:00,2021-03-30 06:00:00+00:00,bearish,1.17972,1.1818,1.1745200000000005,0.0020799999999998597,100.0,win,4.48076923076953,4 days 18:00:00,0.0
