date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,sl_size,probability,result,max_r_reached
2003-05-14,Wednesday,london,2003-05-14 08:00:00+00:00,2003-05-14 10:00:00+00:00,bullish,1.15203,1.1486,1.1606050000000003,0.003430000000000044,-0.8003463980925123,loss,0.35860058309032844
2003-05-20,Tuesday,london,2003-05-20 08:00:00+00:00,2003-05-20 16:00:00+00:00,bearish,1.16156,1.16812,1.1451599999999997,0.006560000000000121,-21.226823732125137,loss,0.24085365853656793
2003-05-28,Wednesday,london,2003-05-28 08:00:00+00:00,2003-05-29 16:00:00+00:00,bearish,1.17675,1.18439,1.1576499999999998,0.007640000000000091,-12.743620072838446,loss,1.0026178010471085
2003-05-28,Wednesday,ny,2003-05-28 11:00:00+00:00,2003-05-29 16:00:00+00:00,bearish,1.17297,1.18439,1.1444200000000002,0.011419999999999986,-12.743620072838446,loss,0.33975481611209374
2003-05-29,Thursday,london,2003-05-29 08:00:00+00:00,2003-05-29 12:00:00+00:00,bearish,1.1702,1.17682,1.1536499999999998,0.00662000000000007,-21.752217589860447,loss,0.1676737160120744
2003-06-10,Tuesday,london,2003-06-10 08:00:00+00:00,2003-06-11 11:00:00+00:00,bearish,1.17037,1.17372,1.1619949999999994,0.003350000000000186,-23.77850922238534,loss,1.391044776119292
2003-06-12,Thursday,ny,2003-06-12 13:00:00+00:00,2003-06-13 14:00:00+00:00,bearish,1.17167,1.18038,1.149895,0.008709999999999996,-23.77850922238534,loss,0.16877152698049175
2003-06-13,Friday,ny,2003-06-13 12:00:00+00:00,2003-06-13 14:00:00+00:00,bearish,1.17498,1.17966,1.1632799999999999,0.0046800000000000175,-7.73273782601535,loss,0.341880341880303
2003-06-18,Wednesday,london,2003-06-18 07:00:00+00:00,2003-06-18 18:00:00+00:00,bearish,1.17613,1.18016,1.1660549999999994,0.0040300000000002,1.275859691006656,win,10.0
2003-06-20,Friday,ny,2003-06-20 12:00:00+00:00,2003-06-26 12:00:00+00:00,bearish,1.16519,1.17333,1.1448399999999999,0.008140000000000036,44.59559757556113,win,10.0
2003-06-24,Tuesday,london,2003-06-24 07:00:00+00:00,2003-06-24 09:00:00+00:00,bearish,1.15372,1.15571,1.1487450000000003,0.0019899999999999363,73.34842390246915,loss,0.19597989949755024
2003-07-03,Thursday,london,2003-07-03 08:00:00+00:00,2003-07-03 14:00:00+00:00,bearish,1.14734,1.15242,1.13464,0.005079999999999973,41.15884680985744,loss,0.82283464566931
2003-07-11,Friday,ny,2003-07-11 13:00:00+00:00,2003-07-16 00:00:00+00:00,bearish,1.12837,1.13438,1.1133450000000005,0.006009999999999849,50.167444326879426,win,2.8685524126456867
2003-07-17,Thursday,ny,2003-07-17 13:00:00+00:00,2003-07-17 23:00:00+00:00,bearish,1.11782,1.12406,1.10222,0.006240000000000023,64.33982638544715,loss,0.3621794871794744
2003-07-30,Wednesday,ny,2003-07-30 11:00:00+00:00,2003-07-30 20:00:00+00:00,bearish,1.14172,1.14468,1.1343200000000004,0.0029599999999998516,36.77842517682699,win,10.0
2003-08-07,Thursday,london,2003-08-07 07:00:00+00:00,2003-08-08 12:00:00+00:00,bullish,1.13504,1.13222,1.14209,0.0028200000000000447,16.365492015129995,loss,2.248226950354579
2003-08-08,Friday,ny,2003-08-08 12:00:00+00:00,2003-08-11 16:00:00+00:00,bearish,1.13122,1.13546,1.1206199999999997,0.0042400000000000215,28.193540418130738,loss,1.1957547169811042
2003-08-19,Tuesday,london,2003-08-19 06:00:00+00:00,2003-08-21 16:00:00+00:00,bearish,1.10886,1.1151,1.09326,0.006240000000000023,73.34842390246915,win,5.256410256410227
2003-08-19,Tuesday,ny,2003-08-19 11:00:00+00:00,2003-08-19 15:00:00+00:00,bearish,1.10618,1.11157,1.092705,0.005390000000000006,73.34842390246915,loss,0.15584415584414674
2003-08-22,Friday,ny,2003-08-22 12:00:00+00:00,2003-08-29 12:00:00+00:00,bearish,1.08752,1.09445,1.0701950000000005,0.006929999999999881,100.0,loss,1.2135642135642386
2003-08-28,Thursday,london,2003-08-28 08:00:00+00:00,2003-08-28 10:00:00+00:00,bullish,1.08668,1.08377,1.0939550000000007,0.00291000000000019,-22.179577147724025,loss,0.21305841924391833
2003-09-04,Thursday,ny,2003-09-04 11:00:00+00:00,2003-09-04 12:00:00+00:00,bearish,1.0813,1.08484,1.0724499999999997,0.0035400000000000986,100.0,loss,0.15536723163836527
2003-09-26,Friday,ny,2003-09-26 11:00:00+00:00,2003-09-26 12:00:00+00:00,bullish,1.14916,1.1461,1.1568100000000001,0.0030600000000000627,39.00450928101723,loss,0.02287581699346832
2003-09-26,Friday,ny,2003-09-26 12:00:00+00:00,2003-09-26 13:00:00+00:00,bearish,1.14433,1.14788,1.1354550000000003,0.003549999999999942,24.643531512691034,loss,0.07323943661976148
2003-09-29,Monday,london,2003-09-29 07:00:00+00:00,2003-09-29 14:00:00+00:00,bearish,1.14078,1.14669,1.1260049999999997,0.005910000000000082,31.503998124137606,loss,0.2554991539762909
2003-10-03,Friday,london,2003-10-03 07:00:00+00:00,2003-10-03 12:00:00+00:00,bullish,1.17061,1.16702,1.1795849999999999,0.003589999999999982,56.677727957736465,loss,0.35654596100283464
2003-10-03,Friday,ny,2003-10-03 12:00:00+00:00,2003-10-06 16:00:00+00:00,bearish,1.1615,1.17193,1.1354250000000001,0.01042999999999994,13.830779447418367,loss,0.8063279002876392
2003-10-16,Thursday,london,2003-10-16 07:00:00+00:00,2003-10-16 13:00:00+00:00,bearish,1.15947,1.16486,1.145995,0.005390000000000006,40.24498172168398,loss,0.03896103896104699
2003-10-17,Friday,ny,2003-10-17 12:00:00+00:00,2003-10-17 14:00:00+00:00,bearish,1.15627,1.16153,1.1431199999999997,0.005260000000000042,40.24498172168398,loss,0.21292775665399255
2003-10-21,Tuesday,london,2003-10-21 06:00:00+00:00,2003-10-21 12:00:00+00:00,bullish,1.1646,1.16268,1.1694000000000004,0.0019200000000001438,37.575441130592,loss,0.7604166666666184
2003-10-21,Tuesday,ny,2003-10-21 13:00:00+00:00,2003-10-22 14:00:00+00:00,bullish,1.16706,1.16264,1.1781100000000002,0.0044200000000000905,37.575441130592,win,4.162895927601719
2003-11-05,Wednesday,london,2003-11-05 08:00:00+00:00,2003-11-07 16:00:00+00:00,bearish,1.14488,1.14956,1.1331799999999999,0.0046800000000000175,81.35884948055457,loss,1.5363247863247396
2003-11-05,Wednesday,ny,2003-11-05 14:00:00+00:00,2003-11-07 16:00:00+00:00,bearish,1.14125,1.14956,1.1204750000000006,0.008309999999999818,81.35884948055457,loss,0.4283995186522366
2003-11-06,Thursday,ny,2003-11-06 13:00:00+00:00,2003-11-07 15:00:00+00:00,bearish,1.14038,1.14613,1.1260049999999997,0.005750000000000144,81.35884948055457,loss,0.46782608695648553
2003-11-07,Friday,ny,2003-11-07 13:00:00+00:00,2003-11-07 15:00:00+00:00,bearish,1.13851,1.14366,1.125635,0.005149999999999988,81.35884948055457,loss,0.06990291262134307
2003-11-24,Monday,london,2003-11-24 07:00:00+00:00,2003-11-24 09:00:00+00:00,bearish,1.18928,1.19167,1.1833049999999996,0.0023900000000001143,21.142694894539513,win,5.937238493723534
2003-12-05,Friday,london,2003-12-05 09:00:00+00:00,2003-12-05 13:00:00+00:00,bearish,1.20611,1.2095,1.197635,0.003390000000000004,12.836198503154241,loss,0.029498525073743027
2003-12-11,Thursday,london,2003-12-11 08:00:00+00:00,2003-12-11 19:00:00+00:00,bearish,1.21512,1.21964,1.20382,0.0045200000000000795,5.2736307660709425,loss,0.8827433628318292
2003-12-11,Thursday,ny,2003-12-11 14:00:00+00:00,2003-12-11 19:00:00+00:00,bearish,1.21312,1.21964,1.1968199999999998,0.006520000000000081,21.142694894539513,loss,0.03067484662576311
