date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,sl_size,probability,result,max_r_reached
2021-01-08,Friday,london,2021-01-08 08:00:00+00:00,2021-01-08 13:00:00+00:00,bearish,1.22236,1.2277,1.2090099999999997,0.005340000000000122,-3.734966750951068,loss,0.1161048689138256
2021-01-11,Monday,london,2021-01-11 09:00:00+00:00,2021-02-04 09:00:00+00:00,bearish,1.21605,1.22284,1.1990750000000006,0.006789999999999852,40.24498172168398,win,3.067746686303473
2021-01-11,Monday,ny,2021-01-11 13:00:00+00:00,2021-01-12 19:00:00+00:00,bearish,1.21444,1.21998,1.2005899999999996,0.0055400000000001,40.24498172168398,loss,0.2220216606498271
2021-01-14,Thursday,london,2021-01-14 08:00:00+00:00,2021-01-14 12:00:00+00:00,bullish,1.21585,1.21355,1.2216000000000005,0.0023000000000001908,29.26894473920672,loss,0.3869565217390268
2021-01-14,Thursday,ny,2021-01-14 12:00:00+00:00,2021-01-14 17:00:00+00:00,bearish,1.21294,1.21674,1.2034399999999998,0.0038000000000000256,32.93306627456285,loss,0.48421052631574457
2021-01-15,Friday,ny,2021-01-15 13:00:00+00:00,2021-01-19 14:00:00+00:00,bearish,1.21159,1.21443,1.20449,0.0028399999999999537,40.24498172168398,loss,2.1971830985915934
2021-01-18,Monday,london,2021-01-18 09:00:00+00:00,2021-01-19 00:00:00+00:00,bearish,1.2062,1.20867,1.2000250000000001,0.0024699999999999722,40.24498172168398,loss,0.34412955465588135
2021-01-25,Monday,london,2021-01-25 09:00:00+00:00,2021-02-01 20:00:00+00:00,bearish,1.21475,1.21832,1.205825,0.003570000000000073,15.617972366155552,win,5.470588235294019
2021-01-25,Monday,ny,2021-01-25 14:00:00+00:00,2021-02-04 17:00:00+00:00,bearish,1.21207,1.21832,1.1964449999999998,0.006250000000000089,8.055404629072257,win,2.695999999999967
2021-02-01,Monday,london,2021-02-01 08:00:00+00:00,2021-02-04 14:00:00+00:00,bearish,1.20888,1.21329,1.197855,0.004410000000000025,6.782435317497135,win,3.097505668934224
2021-02-03,Wednesday,london,2021-02-03 08:00:00+00:00,2021-02-04 09:00:00+00:00,bearish,1.20312,1.205,1.1984199999999996,0.0018800000000001038,81.35884948055457,win,4.202127659574246
2021-02-04,Thursday,london,2021-02-04 08:00:00+00:00,2021-02-05 18:00:00+00:00,bearish,1.19931,1.20427,1.1869100000000006,0.004959999999999853,81.35884948055457,loss,0.8245967741936028
2021-02-04,Thursday,ny,2021-02-04 14:00:00+00:00,2021-02-05 18:00:00+00:00,bearish,1.19808,1.20427,1.1826050000000001,0.006189999999999918,81.35884948055457,loss,0.4620355411954964
2021-02-16,Tuesday,ny,2021-02-16 13:00:00+00:00,2021-02-22 13:00:00+00:00,bearish,1.21081,1.21501,1.20031,0.0041999999999999815,35.62735094316779,loss,2.021428571428553
2021-02-17,Wednesday,london,2021-02-17 07:00:00+00:00,2021-02-19 00:00:00+00:00,bearish,1.2074,1.20982,1.2013500000000004,0.0024199999999998667,49.79973300173551,loss,2.0991735537191127
2021-02-22,Monday,london,2021-02-22 07:00:00+00:00,2021-02-22 11:00:00+00:00,bearish,1.21096,1.21355,1.2044850000000005,0.00258999999999987,56.05382827720041,loss,0.7142857142858
2021-02-24,Wednesday,ny,2021-02-24 13:00:00+00:00,2021-02-25 04:00:00+00:00,bearish,1.21333,1.21745,1.2030300000000003,0.0041199999999999015,30.72719614887895,loss,0.5849514563106992
2021-03-01,Monday,london,2021-03-01 08:00:00+00:00,2021-03-02 20:00:00+00:00,bearish,1.20549,1.20928,1.196015,0.00378999999999996,58.99098278776803,loss,1.6701846965699243
2021-03-02,Tuesday,london,2021-03-02 07:00:00+00:00,2021-03-02 15:00:00+00:00,bearish,1.20072,1.20506,1.18987,0.0043400000000000105,50.98055720968262,loss,0.35944700460829543
2021-03-04,Thursday,london,2021-03-04 08:00:00+00:00,2021-03-04 18:00:00+00:00,bearish,1.20405,1.2063,1.1984250000000003,0.0022499999999998632,73.34842390246915,win,10.0
2021-03-05,Friday,london,2021-03-05 07:00:00+00:00,2021-03-08 07:00:00+00:00,bearish,1.19502,1.19777,1.188145,0.00275000000000003,73.34842390246915,win,4.170909090908998
2021-03-08,Monday,ny,2021-03-08 12:00:00+00:00,2021-03-09 11:00:00+00:00,bearish,1.18617,1.19145,1.17297,0.005279999999999951,100.0,loss,0.49621212121209635
2021-03-16,Tuesday,ny,2021-03-16 13:00:00+00:00,2021-03-17 18:00:00+00:00,bearish,1.19025,1.19518,1.1779250000000003,0.004929999999999879,92.68808455287886,loss,0.417849898580122
2021-03-17,Wednesday,london,2021-03-17 07:00:00+00:00,2021-03-17 09:00:00+00:00,bearish,1.18911,1.19061,1.1853599999999997,0.0015000000000000568,100.0,loss,0.33333333333328397
2021-03-19,Friday,ny,2021-03-19 13:00:00+00:00,2021-03-22 15:00:00+00:00,bearish,1.18811,1.19371,1.1741099999999998,0.005600000000000049,92.68808455287886,loss,0.18392857142858524
2021-03-23,Tuesday,ny,2021-03-23 13:00:00+00:00,2021-03-30 13:00:00+00:00,bearish,1.18728,1.19318,1.1725299999999999,0.005900000000000016,92.68808455287886,win,2.8610169491524977
2021-03-24,Wednesday,london,2021-03-24 07:00:00+00:00,2021-03-30 06:00:00+00:00,bearish,1.18206,1.18508,1.1745100000000006,0.0030199999999998006,100.0,win,3.860927152318137
2021-03-25,Thursday,ny,2021-03-25 12:00:00+00:00,2021-03-30 06:00:00+00:00,bearish,1.17972,1.1818,1.1745200000000005,0.0020799999999998597,100.0,win,4.48076923076953
2021-03-29,Monday,london,2021-03-29 08:00:00+00:00,2021-03-29 13:00:00+00:00,bearish,1.17663,1.17911,1.17043,0.0024800000000000377,100.0,loss,0.06854838709677455
2021-04-08,Thursday,london,2021-04-08 06:00:00+00:00,2021-04-13 12:00:00+00:00,bullish,1.18814,1.18609,1.1932649999999998,0.0020499999999998852,-4.4371236814531665,win,10.0
2021-04-21,Wednesday,london,2021-04-21 07:00:00+00:00,2021-04-22 01:00:00+00:00,bearish,1.20111,1.20436,1.1929849999999993,0.003250000000000197,24.89418380265319,loss,0.3876923076922278
2021-04-27,Tuesday,london,2021-04-27 08:00:00+00:00,2021-04-27 10:00:00+00:00,bearish,1.20581,1.20801,1.20031,0.0021999999999999797,24.89418380265319,loss,0.0636363636363774
2021-05-05,Wednesday,london,2021-05-05 06:00:00+00:00,2021-05-06 07:00:00+00:00,bearish,1.19996,1.20265,1.1932349999999996,0.002690000000000081,45.59540270445898,loss,0.5092936802973346
2021-05-12,Wednesday,ny,2021-05-12 13:00:00+00:00,2021-05-14 13:00:00+00:00,bearish,1.21009,1.21438,1.1993650000000002,0.004289999999999905,32.20609924977433,loss,1.1538461538461817
2021-05-13,Thursday,london,2021-05-13 08:00:00+00:00,2021-05-13 12:00:00+00:00,bearish,1.20622,1.20888,1.1995700000000005,0.0026599999999998847,24.643531512691034,loss,0.08646616541360319
2021-05-28,Friday,ny,2021-05-28 11:00:00+00:00,2021-05-28 16:00:00+00:00,bearish,1.21566,1.22005,1.2046849999999996,0.004390000000000116,12.134097377517511,loss,0.5489749430523826
2021-06-02,Wednesday,london,2021-06-02 06:00:00+00:00,2021-06-02 11:00:00+00:00,bearish,1.22097,1.22265,1.2167700000000004,0.0016799999999999038,11.07627720586128,win,10.0
2021-06-03,Thursday,ny,2021-06-03 12:00:00+00:00,2021-06-09 13:00:00+00:00,bearish,1.21582,1.22082,1.2033199999999997,0.0050000000000001155,26.22550195783888,loss,1.0859999999999397
2021-06-11,Friday,london,2021-06-11 08:00:00+00:00,2021-06-11 15:00:00+00:00,bearish,1.21658,1.21929,1.209805,0.00270999999999999,36.56389855681439,win,10.0
2021-06-15,Tuesday,ny,2021-06-15 11:00:00+00:00,2021-06-16 19:00:00+00:00,bearish,1.21071,1.21473,1.2006599999999996,0.004020000000000135,45.2941077065254,win,10.0
2021-06-17,Thursday,london,2021-06-17 07:00:00+00:00,2021-07-02 07:00:00+00:00,bearish,1.19544,1.20062,1.18249,0.005179999999999962,52.606023153646554,win,10.0
2021-06-18,Friday,london,2021-06-18 06:00:00+00:00,2021-06-22 16:00:00+00:00,bearish,1.18908,1.19249,1.1805549999999996,0.003410000000000135,73.34842390246915,loss,1.2785923753664947
2021-06-18,Friday,ny,2021-06-18 13:00:00+00:00,2021-06-22 16:00:00+00:00,bearish,1.1867,1.19243,1.1723750000000002,0.005730000000000013,73.34842390246915,loss,0.3455497382199107
2021-06-24,Thursday,london,2021-06-24 06:00:00+00:00,2021-06-25 13:00:00+00:00,bullish,1.19341,1.19192,1.197135,0.0014899999999999913,4.4719989498068236,win,2.751677852349004
2021-06-28,Monday,ny,2021-06-28 11:00:00+00:00,2021-07-02 12:00:00+00:00,bearish,1.1907,1.19444,1.1813500000000006,0.0037399999999998546,64.33982638544715,win,10.0
2021-06-29,Tuesday,london,2021-06-29 08:00:00+00:00,2021-06-30 15:00:00+00:00,bearish,1.19012,1.1923,1.1846700000000006,0.0021799999999998487,73.34842390246915,win,10.0
2021-07-02,Friday,london,2021-07-02 06:00:00+00:00,2021-07-02 12:00:00+00:00,bearish,1.18388,1.18517,1.180655,0.0012900000000000134,73.34842390246915,loss,2.4651162790697114
2021-07-02,Friday,ny,2021-07-02 11:00:00+00:00,2021-07-02 12:00:00+00:00,bearish,1.18217,1.18477,1.1756699999999995,0.0026000000000001577,73.34842390246915,loss,0.5653846153845273
2021-07-06,Tuesday,london,2021-07-06 08:00:00+00:00,2021-07-30 07:00:00+00:00,bearish,1.18452,1.18951,1.1720449999999998,0.00499000000000005,57.47935977400057,loss,1.8717434869739544
2021-07-07,Wednesday,ny,2021-07-07 13:00:00+00:00,2021-07-08 09:00:00+00:00,bearish,1.18049,1.18321,1.17369,0.0027200000000000557,73.34842390246915,loss,0.8602941176470444
2021-07-16,Friday,london,2021-07-16 08:00:00+00:00,2021-07-16 10:00:00+00:00,bullish,1.18181,1.18018,1.185885,0.0016300000000000203,-3.5838451516162975,loss,0.24539877300610488
2021-07-16,Friday,ny,2021-07-16 11:00:00+00:00,2021-07-19 13:00:00+00:00,bearish,1.17942,1.18221,1.1724449999999997,0.00279000000000007,73.34842390246915,loss,1.0967741935483024
2021-07-19,Monday,london,2021-07-19 06:00:00+00:00,2021-07-19 08:00:00+00:00,bearish,1.17973,1.18085,1.17693,0.0011200000000000099,73.34842390246915,win,3.0089285714284317
2021-07-20,Tuesday,ny,2021-07-20 13:00:00+00:00,2021-07-21 15:00:00+00:00,bearish,1.17668,1.18024,1.16778,0.0035600000000000076,73.34842390246915,loss,0.42134831460675665
2021-08-04,Wednesday,london,2021-08-04 08:00:00+00:00,2021-08-04 12:00:00+00:00,bearish,1.18509,1.18697,1.1803899999999996,0.0018800000000001038,31.878270382538155,loss,0.15425531914887522
2021-08-06,Friday,london,2021-08-06 08:00:00+00:00,2021-08-18 15:00:00+00:00,bearish,1.18109,1.18572,1.1695149999999996,0.004630000000000134,14.135816916267297,win,3.1771058315333858
2021-08-10,Tuesday,london,2021-08-10 07:00:00+00:00,2021-08-10 08:00:00+00:00,bearish,1.17314,1.17386,1.1713400000000005,0.0007199999999998319,73.34842390246915,loss,0.5138888888889831
2021-08-11,Wednesday,london,2021-08-11 06:00:00+00:00,2021-08-11 12:00:00+00:00,bearish,1.17094,1.17255,1.1669150000000004,0.0016099999999998893,73.34842390246915,loss,0.21739130434788606
2021-08-17,Tuesday,london,2021-08-17 06:00:00+00:00,2021-08-17 08:00:00+00:00,bearish,1.17612,1.17805,1.1712950000000002,0.0019299999999999873,36.35078131433123,loss,0.05181347150258531
2021-08-17,Tuesday,ny,2021-08-17 12:00:00+00:00,2021-08-27 14:00:00+00:00,bearish,1.17439,1.17846,1.164215,0.004070000000000018,43.662696761452366,loss,1.968058968058977
2021-08-20,Friday,london,2021-08-20 08:00:00+00:00,2021-08-20 15:00:00+00:00,bearish,1.1674,1.16891,1.1636250000000001,0.0015099999999999003,100.0,loss,0.6754966887417803
2021-09-01,Wednesday,london,2021-09-01 06:00:00+00:00,2021-09-01 07:00:00+00:00,bullish,1.18092,1.17964,1.1841199999999998,0.0012799999999999478,44.87039494819967,loss,0.33593749999995937
2021-09-06,Monday,london,2021-09-06 07:00:00+00:00,2021-09-08 14:00:00+00:00,bearish,1.18629,1.18862,1.1804650000000003,0.0023299999999999432,24.89418380265319,win,10.0
2021-09-07,Tuesday,ny,2021-09-07 12:00:00+00:00,2021-09-13 11:00:00+00:00,bearish,1.18504,1.18822,1.1770900000000002,0.0031799999999999606,40.51259564115961,win,10.0
2021-09-13,Monday,ny,2021-09-13 11:00:00+00:00,2021-09-13 13:00:00+00:00,bearish,1.17739,1.17929,1.17264,0.0019000000000000128,54.32925865370781,loss,0.13684210526311852
2021-09-17,Friday,ny,2021-09-17 13:00:00+00:00,2021-09-20 07:00:00+00:00,bearish,1.17536,1.17712,1.17096,0.0017599999999999838,86.36598925646233,win,10.0
2021-09-20,Monday,london,2021-09-20 08:00:00+00:00,2021-09-20 14:00:00+00:00,bearish,1.17095,1.17296,1.1659249999999997,0.0020100000000000673,77.63213330721345,loss,0.46766169154224346
2021-09-27,Monday,london,2021-09-27 06:00:00+00:00,2021-09-28 06:00:00+00:00,bearish,1.17106,1.1725,1.1674599999999997,0.0014400000000001079,68.62353579019145,win,10.0
2021-09-28,Tuesday,london,2021-09-28 06:00:00+00:00,2021-09-29 17:00:00+00:00,bearish,1.16762,1.17083,1.1595950000000004,0.003209999999999935,77.63213330721345,win,10.0
2021-09-29,Wednesday,london,2021-09-29 06:00:00+00:00,2021-09-29 11:00:00+00:00,bearish,1.16776,1.169,1.1646599999999996,0.0012400000000001299,77.63213330721345,win,10.0
2021-09-29,Wednesday,ny,2021-09-29 11:00:00+00:00,2021-10-06 08:00:00+00:00,bearish,1.16491,1.16878,1.1552349999999998,0.00387000000000004,100.0,win,3.227390180878491
2021-10-13,Wednesday,ny,2021-10-13 12:00:00+00:00,2021-10-13 13:00:00+00:00,bearish,1.15427,1.15667,1.1482699999999995,0.0024000000000001798,90.991402482978,loss,0.1
2021-10-22,Friday,london,2021-10-22 06:00:00+00:00,2021-10-25 10:00:00+00:00,bullish,1.16362,1.1621,1.1674200000000006,0.0015200000000001879,13.219133365752587,loss,1.8881578947365614
2021-11-03,Wednesday,ny,2021-11-03 13:00:00+00:00,2021-11-03 18:00:00+00:00,bearish,1.1571,1.15977,1.1504250000000003,0.00266999999999995,77.63213330721345,loss,0.32958801498127654
2021-11-11,Thursday,london,2021-11-11 07:00:00+00:00,2021-11-15 17:00:00+00:00,bearish,1.14601,1.14875,1.13916,0.0027399999999999647,100.0,win,10.0
2021-11-12,Friday,ny,2021-11-12 14:00:00+00:00,2021-11-12 15:00:00+00:00,bearish,1.14367,1.14552,1.1390449999999996,0.0018500000000001293,100.0,loss,0.0
2021-11-16,Tuesday,ny,2021-11-16 14:00:00+00:00,2021-11-22 14:00:00+00:00,bearish,1.1344,1.13844,1.1243000000000005,0.0040399999999998215,100.0,win,3.9133663366338616
2021-11-19,Friday,ny,2021-11-19 12:00:00+00:00,2021-11-30 09:00:00+00:00,bearish,1.12572,1.13604,1.0999200000000005,0.010319999999999885,92.68808455287886,loss,0.6908914728682326
2021-11-22,Monday,london,2021-11-22 07:00:00+00:00,2021-11-22 08:00:00+00:00,bearish,1.126,1.12786,1.1213499999999994,0.0018600000000001948,92.68808455287886,loss,0.01075268817199295
2021-11-22,Monday,ny,2021-11-22 14:00:00+00:00,2021-11-26 11:00:00+00:00,bearish,1.12574,1.12904,1.1174899999999997,0.0033000000000000806,92.68808455287886,loss,2.1666666666666106
2021-11-24,Wednesday,london,2021-11-24 08:00:00+00:00,2021-11-26 08:00:00+00:00,bearish,1.1222,1.12713,1.1098750000000004,0.004929999999999879,100.0,loss,0.7322515212982154
2021-12-07,Tuesday,london,2021-12-07 08:00:00+00:00,2021-12-07 13:00:00+00:00,bearish,1.12749,1.12868,1.1245150000000006,0.0011899999999998023,52.57181939271236,win,3.983193277311744
