date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,sl_size,probability,result,max_r_reached
2011-01-03,Monday,london,2011-01-03 07:00:00+00:00,2011-01-03 13:00:00+00:00,bearish,1.32735,1.33619,1.30525,0.008839999999999959,6.25303328320776,loss,0.18212669683259264
2011-01-05,Wednesday,london,2011-01-05 08:00:00+00:00,2011-01-06 13:00:00+00:00,bearish,1.32568,1.33248,1.3086799999999996,0.006800000000000139,-2.3077063928121277,win,5.779411764705748
2011-01-06,Thursday,london,2011-01-06 07:00:00+00:00,2011-01-06 23:00:00+00:00,bearish,1.31132,1.31698,1.29717,0.005659999999999998,36.96107744583752,win,4.4063604240282634
2011-01-06,Thursday,ny,2011-01-06 12:00:00+00:00,2011-01-07 16:00:00+00:00,bearish,1.3092,1.31591,1.292425,0.006709999999999994,36.96107744583752,win,3.400894187779413
2011-02-04,Friday,ny,2011-02-04 13:00:00+00:00,2011-02-08 06:00:00+00:00,bearish,1.35819,1.36424,1.3430650000000002,0.006049999999999889,-12.468822700199917,loss,1.2231404958678032
2011-02-10,Thursday,ny,2011-02-10 13:00:00+00:00,2011-02-23 15:00:00+00:00,bearish,1.35978,1.37437,1.3233049999999997,0.014590000000000103,41.281453203504284,loss,1.1638108293351526
2011-02-11,Friday,london,2011-02-11 08:00:00+00:00,2011-02-17 23:00:00+00:00,bearish,1.35393,1.36205,1.3336300000000003,0.008119999999999905,48.59336865062542,loss,1.3706896551724401
2011-02-14,Monday,london,2011-02-14 08:00:00+00:00,2011-02-15 09:00:00+00:00,bearish,1.34758,1.3532,1.33353,0.005619999999999958,48.59336865062542,loss,0.850533807829189
2011-02-15,Tuesday,london,2011-02-15 07:00:00+00:00,2011-02-15 09:00:00+00:00,bearish,1.34694,1.35269,1.3325650000000002,0.005749999999999922,62.61284841447051,loss,0.0017391304347940256
2011-02-22,Tuesday,london,2011-02-22 07:00:00+00:00,2011-02-22 12:00:00+00:00,bearish,1.35477,1.36833,1.32087,0.013560000000000016,24.193265324204877,loss,0.14454277286135395
2011-03-08,Tuesday,london,2011-03-08 07:00:00+00:00,2011-03-09 08:00:00+00:00,bearish,1.39519,1.3988,1.3861649999999996,0.003610000000000113,13.830779447418367,win,5.53739612188347
2011-03-09,Wednesday,london,2011-03-09 08:00:00+00:00,2011-03-09 11:00:00+00:00,bearish,1.38742,1.39099,1.3784950000000005,0.003569999999999851,21.142694894539513,loss,0.29131652661069896
2011-03-15,Tuesday,london,2011-03-15 09:00:00+00:00,2011-03-15 14:00:00+00:00,bearish,1.38698,1.39471,1.3676550000000005,0.007729999999999793,4.822181930396371,loss,0.1914618369987306
2011-03-16,Wednesday,ny,2011-03-16 14:00:00+00:00,2011-03-17 09:00:00+00:00,bearish,1.3926,1.40007,1.3739250000000003,0.007469999999999866,25.950760390065717,loss,0.796519410977273
2011-03-25,Friday,london,2011-03-25 08:00:00+00:00,2011-03-27 18:00:00+00:00,bearish,1.41473,1.41932,1.4032550000000004,0.004589999999999872,25.950760390065717,win,2.8191721132898286
2011-03-25,Friday,ny,2011-03-25 12:00:00+00:00,2011-03-31 08:00:00+00:00,bearish,1.41213,1.41932,1.3941550000000005,0.007189999999999808,25.950760390065717,loss,1.438108484005604
2011-04-05,Tuesday,london,2011-04-05 06:00:00+00:00,2011-04-05 16:00:00+00:00,bearish,1.41843,1.42317,1.4065800000000002,0.0047399999999999665,24.443917614167045,loss,0.6940928270042275
2011-04-11,Monday,ny,2011-04-11 11:00:00+00:00,2011-04-12 12:00:00+00:00,bearish,1.44383,1.44831,1.4326299999999998,0.0044800000000000395,5.524283056033098,loss,1.3683035714285523
2011-04-15,Friday,ny,2011-04-15 12:00:00+00:00,2011-04-18 15:00:00+00:00,bearish,1.44107,1.44998,1.4187950000000003,0.008909999999999973,5.2736307660709425,win,2.847362514029202
2011-04-18,Monday,london,2011-04-18 07:00:00+00:00,2011-04-18 14:00:00+00:00,bearish,1.43416,1.43875,1.4226850000000004,0.004589999999999872,3.4002414282686613,win,4.021786492374871
2011-05-06,Friday,london,2011-05-06 07:00:00+00:00,2011-05-06 16:00:00+00:00,bearish,1.45326,1.45875,1.439535,0.005489999999999995,26.22550195783888,win,10.0
2011-05-09,Monday,ny,2011-05-09 12:00:00+00:00,2011-05-23 06:00:00+00:00,bearish,1.43261,1.44417,1.4037099999999998,0.011560000000000015,52.606023153646554,win,3.087370242214529
2011-06-10,Friday,london,2011-06-10 07:00:00+00:00,2011-06-15 15:00:00+00:00,bearish,1.44574,1.45501,1.4225650000000003,0.00926999999999989,48.978837670932826,win,4.145631067961211
2011-06-10,Friday,ny,2011-06-10 13:00:00+00:00,2011-07-01 06:00:00+00:00,bearish,1.44084,1.45501,1.4054149999999999,0.014170000000000016,48.978837670932826,loss,2.3662667607621595
2011-06-23,Thursday,london,2011-06-23 07:00:00+00:00,2011-06-29 10:00:00+00:00,bearish,1.42651,1.44289,1.38556,0.01638000000000006,-7.73273782601535,loss,0.9926739926739854
2011-07-04,Monday,ny,2011-07-04 11:00:00+00:00,2011-07-06 11:00:00+00:00,bearish,1.44978,1.45674,1.4323800000000004,0.006959999999999855,-2.038284681050201,win,10.0
2011-07-06,Wednesday,london,2011-07-06 07:00:00+00:00,2011-07-11 07:00:00+00:00,bearish,1.43751,1.44662,1.4147350000000003,0.009109999999999951,34.959357907087735,win,5.905598243688294
