date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,sl_size,probability,result,max_r_reached
2015-01-02,Friday,london,2015-01-02 08:00:00+00:00,2015-01-04 22:00:00+00:00,bearish,1.20472,1.21073,1.189695,0.006010000000000071,100.0,win,10.0
2015-01-02,Friday,ny,2015-01-02 13:00:00+00:00,2015-01-04 22:00:00+00:00,bearish,1.20311,1.20697,1.1934599999999995,0.0038600000000001966,100.0,win,10.0
2015-01-06,Tuesday,london,2015-01-06 09:00:00+00:00,2015-01-08 12:00:00+00:00,bearish,1.19079,1.19687,1.1755899999999997,0.006080000000000085,100.0,win,10.0
2015-01-07,Wednesday,london,2015-01-07 09:00:00+00:00,2015-01-15 09:00:00+00:00,bearish,1.18536,1.19584,1.15916,0.010480000000000045,100.0,win,10.0
2015-01-08,Thursday,london,2015-01-08 08:00:00+00:00,2015-01-11 22:00:00+00:00,bearish,1.17945,1.18475,1.1662000000000003,0.00529999999999986,100.0,loss,0.7584905660377812
2015-01-09,Friday,ny,2015-01-09 14:00:00+00:00,2015-01-09 15:00:00+00:00,bearish,1.17833,1.18149,1.1704300000000005,0.0031599999999998296,100.0,loss,0.0
2015-01-14,Wednesday,london,2015-01-14 09:00:00+00:00,2015-01-14 13:00:00+00:00,bearish,1.17441,1.17823,1.1648599999999996,0.0038200000000001566,100.0,loss,0.17015706806283057
2015-01-23,Friday,london,2015-01-23 08:00:00+00:00,2015-01-27 14:00:00+00:00,bearish,1.12719,1.1374,1.1016649999999997,0.010210000000000052,100.0,loss,1.7042115572967453
2015-02-05,Thursday,london,2015-02-05 07:00:00+00:00,2015-02-08 22:00:00+00:00,bullish,1.13802,1.13039,1.157095,0.007630000000000026,22.227730882774598,loss,1.5543905635648678
2015-02-09,Monday,london,2015-02-09 07:00:00+00:00,2015-02-09 12:00:00+00:00,bullish,1.13437,1.12953,1.1464700000000005,0.0048400000000001775,30.961586832023446,loss,0.326446280991706
2015-02-20,Friday,ny,2015-02-20 14:00:00+00:00,2015-02-20 15:00:00+00:00,bearish,1.12931,1.13725,1.10946,0.007940000000000058,85.98052023615492,loss,0.08690176322419073
2015-02-24,Tuesday,london,2015-02-24 08:00:00+00:00,2015-02-24 15:00:00+00:00,bearish,1.13185,1.13415,1.1261,0.0022999999999999687,85.98052023615492,loss,1.3130434782608973
2015-02-26,Thursday,ny,2015-02-26 12:00:00+00:00,2015-03-01 23:00:00+00:00,bearish,1.13196,1.13796,1.1169600000000002,0.006000000000000005,78.66860478903375,win,10.0
2015-02-27,Friday,ny,2015-02-27 14:00:00+00:00,2015-03-05 06:00:00+00:00,bearish,1.11867,1.12442,1.1042950000000002,0.005749999999999922,100.0,win,10.0
2015-03-03,Tuesday,london,2015-03-03 09:00:00+00:00,2015-03-03 17:00:00+00:00,bearish,1.11722,1.12122,1.10722,0.0040000000000000036,100.0,loss,0.4400000000000511
2015-03-04,Wednesday,ny,2015-03-04 14:00:00+00:00,2015-03-06 13:00:00+00:00,bearish,1.1094,1.11775,1.0885249999999997,0.00835000000000008,100.0,win,7.564071856287339
2015-03-06,Friday,london,2015-03-06 08:00:00+00:00,2015-03-06 13:00:00+00:00,bearish,1.09963,1.10327,1.0905300000000004,0.0036399999999998656,100.0,win,10.0
2015-03-10,Tuesday,london,2015-03-10 08:00:00+00:00,2015-03-12 03:00:00+00:00,bearish,1.07582,1.0863,1.04962,0.010480000000000045,100.0,win,2.8225190839694476
2015-03-11,Wednesday,london,2015-03-11 08:00:00+00:00,2015-03-13 18:00:00+00:00,bearish,1.06447,1.0717,1.046395,0.00723000000000007,100.0,win,2.5214384508990033
2015-03-13,Friday,ny,2015-03-13 13:00:00+00:00,2015-03-17 12:00:00+00:00,bearish,1.05333,1.06347,1.0279800000000006,0.010139999999999816,100.0,loss,0.6992110453649082
2015-03-25,Wednesday,london,2015-03-25 07:00:00+00:00,2015-03-26 17:00:00+00:00,bullish,1.09523,1.09007,1.1081299999999996,0.005159999999999831,-4.4371236814531665,loss,1.9360465116280023
2015-03-27,Friday,london,2015-03-27 07:00:00+00:00,2015-03-27 12:00:00+00:00,bearish,1.08088,1.08942,1.05953,0.008539999999999992,82.25754653372914,loss,0.09016393442624826
2015-03-30,Monday,london,2015-03-30 07:00:00+00:00,2015-04-02 13:00:00+00:00,bearish,1.08312,1.08842,1.0698700000000003,0.00529999999999986,82.25754653372914,loss,2.2301886792453725
2015-04-07,Tuesday,london,2015-04-07 08:00:00+00:00,2015-04-10 10:00:00+00:00,bearish,1.08489,1.09547,1.0584399999999998,0.010580000000000034,56.3816571444366,win,3.10586011342153
2015-04-09,Thursday,ny,2015-04-09 13:00:00+00:00,2015-04-10 12:00:00+00:00,bearish,1.07251,1.07861,1.05726,0.006099999999999994,74.12411061070745,win,3.35737704918034
2015-04-10,Friday,london,2015-04-10 07:00:00+00:00,2015-04-14 13:00:00+00:00,bearish,1.06127,1.06837,1.0435199999999996,0.007100000000000106,100.0,loss,1.3014084507041939
2015-04-13,Monday,london,2015-04-13 07:00:00+00:00,2015-04-14 12:00:00+00:00,bearish,1.05649,1.0619,1.0429649999999997,0.005410000000000137,100.0,loss,0.824399260628428
2015-04-23,Thursday,london,2015-04-23 06:00:00+00:00,2015-04-23 08:00:00+00:00,bearish,1.0688,1.07179,1.0613249999999999,0.002990000000000048,52.57181939271236,loss,0.739130434782612
2015-05-04,Monday,london,2015-05-04 07:00:00+00:00,2015-05-05 14:00:00+00:00,bearish,1.11517,1.11976,1.1036949999999996,0.004590000000000094,24.165433575478527,loss,1.860566448801703
2015-05-08,Friday,london,2015-05-08 08:00:00+00:00,2015-05-08 12:00:00+00:00,bullish,1.12331,1.11818,1.1361350000000003,0.005130000000000079,47.04517495531304,loss,1.0701754385964737
2015-05-08,Friday,ny,2015-05-08 12:00:00+00:00,2015-05-11 00:00:00+00:00,bullish,1.12621,1.11818,1.1462849999999998,0.008029999999999982,47.04517495531304,loss,0.15940224159404393
2015-05-19,Tuesday,london,2015-05-19 07:00:00+00:00,2015-05-27 12:00:00+00:00,bearish,1.11825,1.1321,1.0836249999999996,0.01385000000000014,39.783845413984956,win,2.6231046931407658
2015-05-19,Tuesday,ny,2015-05-19 12:00:00+00:00,2015-05-26 06:00:00+00:00,bearish,1.11325,1.12166,1.092225,0.008410000000000029,22.041391947714096,win,3.7253269916765723
2015-05-22,Friday,ny,2015-05-22 12:00:00+00:00,2015-06-03 13:00:00+00:00,bearish,1.10794,1.12083,1.0757149999999998,0.012890000000000068,65.38493480544739,loss,2.0186190845616596
