date,day_of_week,session,order_placed_time,order_completed_time,direction,entry_price,sl_price,tp_price,sl_size,probability,result,max_r_reached
2019-01-02,Wednesday,ny,2019-01-02 12:00:00+00:00,2019-01-09 14:00:00+00:00,bearish,1.14051,1.14967,1.1176099999999998,0.009160000000000057,23.4633324498418,loss,1.04694323144104
2019-01-08,Tuesday,ny,2019-01-08 13:00:00+00:00,2019-01-09 07:00:00+00:00,bearish,1.14274,1.14692,1.1322900000000005,0.0041799999999998505,48.637062283440656,loss,0.07177033492827745
2019-01-11,Friday,ny,2019-01-11 14:00:00+00:00,2019-01-24 18:00:00+00:00,bearish,1.14701,1.15403,1.1294600000000006,0.007019999999999804,16.60286583839523,win,8.420227920228154
2019-01-16,Wednesday,london,2019-01-16 07:00:00+00:00,2019-01-16 08:00:00+00:00,bearish,1.13938,1.14151,1.134055,0.0021299999999999653,12.034566686890122,loss,0.03286384976526556
2019-01-21,Monday,london,2019-01-21 09:00:00+00:00,2019-01-23 16:00:00+00:00,bearish,1.13712,1.1391,1.1321699999999997,0.001980000000000093,12.034566686890122,loss,1.7727272727271401
2019-01-21,Monday,ny,2019-01-21 13:00:00+00:00,2019-01-23 16:00:00+00:00,bearish,1.13611,1.1391,1.1286349999999998,0.002990000000000048,12.034566686890122,loss,0.8361204013377613
2019-01-22,Tuesday,ny,2019-01-22 13:00:00+00:00,2019-01-22 17:00:00+00:00,bearish,1.13455,1.13671,1.1291499999999997,0.002160000000000162,34.859827216460346,loss,0.4351851851851252
2019-01-30,Wednesday,ny,2019-01-30 14:00:00+00:00,2019-01-30 19:00:00+00:00,bearish,1.14137,1.14409,1.1345699999999999,0.0027200000000000557,42.83441584365031,loss,0.08455882352939256
2019-02-01,Friday,london,2019-02-01 09:00:00+00:00,2019-02-04 14:00:00+00:00,bullish,1.14665,1.14343,1.1547,0.0032200000000000006,28.125540397179094,loss,0.6801242236025267
2019-02-04,Monday,ny,2019-02-04 14:00:00+00:00,2019-02-07 07:00:00+00:00,bearish,1.14262,1.14542,1.1356199999999996,0.0028000000000001357,34.37254142989033,win,10.0
2019-02-07,Thursday,london,2019-02-07 07:00:00+00:00,2019-02-10 22:00:00+00:00,bearish,1.13542,1.13683,1.1318950000000003,0.0014099999999999113,71.24717367309198,win,8.524822695036098
2019-02-08,Friday,london,2019-02-08 08:00:00+00:00,2019-02-08 11:00:00+00:00,bearish,1.13322,1.13435,1.1303949999999996,0.0011300000000000754,71.24717367309198,loss,0.8318584070795382
2019-02-11,Monday,london,2019-02-11 08:00:00+00:00,2019-02-12 08:00:00+00:00,bearish,1.13113,1.13298,1.1265049999999996,0.0018500000000001293,71.24717367309198,win,2.897297297297112
2019-02-11,Monday,ny,2019-02-11 14:00:00+00:00,2019-02-12 16:00:00+00:00,bearish,1.12916,1.13215,1.1216849999999998,0.002990000000000048,71.24717367309198,loss,1.1337792642140299
2019-02-12,Tuesday,london,2019-02-12 08:00:00+00:00,2019-02-12 10:00:00+00:00,bearish,1.12659,1.12849,1.12184,0.0019000000000000128,100.0,loss,0.1789473684210551
2019-02-15,Friday,ny,2019-02-15 12:00:00+00:00,2019-02-15 18:00:00+00:00,bearish,1.12627,1.12862,1.1203950000000005,0.002349999999999852,92.68808455287886,loss,1.2212765957448215
2019-03-04,Monday,london,2019-03-04 08:00:00+00:00,2019-03-07 14:00:00+00:00,bearish,1.13426,1.13826,1.12426,0.0040000000000000036,32.202508255101876,win,4.155000000000016
2019-03-04,Monday,ny,2019-03-04 14:00:00+00:00,2019-03-07 16:00:00+00:00,bearish,1.13257,1.13691,1.12172,0.0043400000000000105,39.51442370222302,win,3.4400921658986343
2019-03-07,Thursday,ny,2019-03-07 12:00:00+00:00,2019-03-07 16:00:00+00:00,bearish,1.12886,1.13156,1.1221100000000002,0.0026999999999999247,77.63213330721345,win,4.155555555555674
2019-03-22,Friday,london,2019-03-22 08:00:00+00:00,2019-04-26 12:00:00+00:00,bearish,1.13029,1.13788,1.111315,0.007589999999999986,24.461504388778398,win,2.581027667984194
2019-03-22,Friday,ny,2019-03-22 14:00:00+00:00,2019-06-24 08:00:00+00:00,bearish,1.12787,1.13905,1.09992,0.011179999999999968,14.030966369628683,loss,1.5357781753130553
2019-03-26,Tuesday,ny,2019-03-26 12:00:00+00:00,2019-04-01 21:00:00+00:00,bearish,1.12876,1.13219,1.1201849999999998,0.003430000000000044,22.041391947714096,win,3.032069970845432
2019-03-28,Thursday,london,2019-03-28 07:00:00+00:00,2019-04-08 13:00:00+00:00,bearish,1.12381,1.12676,1.116435,0.002950000000000008,48.87930698030544,loss,1.8474576271186236
2019-03-29,Friday,london,2019-03-29 09:00:00+00:00,2019-03-29 12:00:00+00:00,bearish,1.12112,1.12389,1.1141949999999996,0.0027700000000001612,48.87930698030544,loss,0.050541516245414725
2019-04-04,Thursday,ny,2019-04-04 12:00:00+00:00,2019-04-08 11:00:00+00:00,bearish,1.12174,1.12475,1.1142150000000002,0.003009999999999957,39.87070946328344,loss,0.38205980066445205
2019-04-10,Wednesday,ny,2019-04-10 13:00:00+00:00,2019-04-10 16:00:00+00:00,bearish,1.12412,1.12738,1.11597,0.0032600000000000406,-2.13781537167759,loss,0.03067484662576311
2019-04-18,Thursday,london,2019-04-18 06:00:00+00:00,2019-04-18 07:00:00+00:00,bullish,1.13012,1.12895,1.1330450000000003,0.0011700000000001154,55.605970436198305,loss,0.09401709401713132
2019-04-18,Thursday,london,2019-04-18 07:00:00+00:00,2019-04-23 14:00:00+00:00,bearish,1.1271,1.13008,1.11965,0.0029799999999999827,22.465104706039828,win,5.503355704698008
2019-04-18,Thursday,ny,2019-04-18 12:00:00+00:00,2019-06-05 12:00:00+00:00,bearish,1.12404,1.13039,1.1081649999999996,0.006350000000000078,12.034566686890122,loss,2.1007874015747627
2019-04-23,Tuesday,ny,2019-04-23 12:00:00+00:00,2019-05-01 18:00:00+00:00,bearish,1.12176,1.12612,1.1108600000000002,0.0043599999999999195,14.72947650059295,loss,2.442660550458772
2019-04-24,Wednesday,london,2019-04-24 06:00:00+00:00,2019-04-24 16:00:00+00:00,bearish,1.12079,1.12276,1.1158649999999999,0.0019700000000000273,48.87930698030544,win,4.913705583756232
2019-04-24,Wednesday,ny,2019-04-24 13:00:00+00:00,2019-04-26 12:00:00+00:00,bearish,1.11926,1.12232,1.1116099999999998,0.0030600000000000627,48.87930698030544,win,2.6633986928103637
2019-05-02,Thursday,london,2019-05-02 07:00:00+00:00,2019-05-02 13:00:00+00:00,bullish,1.12132,1.1187,1.1278700000000002,0.0026200000000000667,-13.170979630702014,loss,0.10305343511449831
2019-05-02,Thursday,ny,2019-05-02 13:00:00+00:00,2019-05-09 13:00:00+00:00,bearish,1.11853,1.1219,1.1101050000000003,0.003369999999999873,67.81042290738827,loss,1.4925816023739702
2019-05-16,Thursday,ny,2019-05-16 12:00:00+00:00,2019-06-03 17:00:00+00:00,bearish,1.11877,1.12238,1.1097450000000002,0.003609999999999891,42.564994131888376,loss,2.235457063711985
2019-05-23,Thursday,london,2019-05-23 06:00:00+00:00,2019-05-23 15:00:00+00:00,bearish,1.11421,1.11571,1.1104599999999998,0.0015000000000000568,84.13093587153142,loss,2.339999999999846
2019-05-29,Wednesday,london,2019-05-29 06:00:00+00:00,2019-05-30 13:00:00+00:00,bearish,1.11567,1.11724,1.1117449999999998,0.0015700000000000713,56.29479309513812,win,2.5923566878979827
2019-05-30,Thursday,london,2019-05-30 07:00:00+00:00,2019-05-30 09:00:00+00:00,bearish,1.11316,1.11413,1.1107349999999996,0.0009700000000001374,47.28619557811611,loss,0.061855670103031425
2019-05-30,Thursday,ny,2019-05-30 13:00:00+00:00,2019-05-31 07:00:00+00:00,bearish,1.11233,1.11433,1.1073300000000001,0.0020000000000000018,47.28619557811611,loss,0.21499999999996502
2019-06-13,Thursday,ny,2019-06-13 12:00:00+00:00,2019-06-14 15:00:00+00:00,bearish,1.12784,1.13037,1.1215149999999996,0.0025300000000001432,31.77341983589953,win,3.837944664031358
2019-06-18,Tuesday,london,2019-06-18 08:00:00+00:00,2019-06-19 18:00:00+00:00,bearish,1.11898,1.12341,1.1079050000000001,0.004429999999999934,20.768422636138975,loss,0.19187358916479233
2019-07-03,Wednesday,london,2019-07-03 06:00:00+00:00,2019-07-03 10:00:00+00:00,bearish,1.12843,1.12951,1.1257300000000001,0.0010799999999999699,40.868881402220026,loss,1.4537037037038103
2019-07-05,Friday,london,2019-07-05 06:00:00+00:00,2019-07-05 12:00:00+00:00,bearish,1.12732,1.12844,1.12452,0.0011200000000000099,40.868881402220026,win,7.133928571428655
2019-07-05,Friday,ny,2019-07-05 12:00:00+00:00,2019-07-11 12:00:00+00:00,bearish,1.12441,1.12844,1.1143349999999994,0.0040300000000002,40.868881402220026,loss,1.2605459057071269
2019-07-09,Tuesday,london,2019-07-09 06:00:00+00:00,2019-07-10 08:00:00+00:00,bearish,1.12074,1.12181,1.1180650000000003,0.0010699999999999044,48.87930698030544,loss,1.317757009346037
2019-07-16,Tuesday,london,2019-07-16 07:00:00+00:00,2019-07-16 12:00:00+00:00,bearish,1.12486,1.12634,1.1211600000000002,0.0014799999999999258,41.567391533184306,win,3.304054054054261
2019-07-17,Wednesday,london,2019-07-17 06:00:00+00:00,2019-07-17 09:00:00+00:00,bearish,1.12024,1.12151,1.1170649999999998,0.0012700000000001044,48.87930698030544,loss,0.01574803149599003
2019-07-22,Monday,london,2019-07-22 06:00:00+00:00,2019-07-22 11:00:00+00:00,bullish,1.1223,1.12075,1.1261750000000004,0.0015500000000001624,20.63461948058526,loss,0.08387096774190314
2019-07-25,Thursday,london,2019-07-25 06:00:00+00:00,2019-07-25 10:00:00+00:00,bearish,1.11309,1.11432,1.1100149999999998,0.0012300000000000644,100.0,loss,0.7154471544715006
2019-07-25,Thursday,ny,2019-07-25 11:00:00+00:00,2019-07-25 12:00:00+00:00,bearish,1.11144,1.11371,1.1057649999999999,0.0022699999999999942,100.0,loss,0.5770925110131832
2019-08-01,Thursday,london,2019-08-01 07:00:00+00:00,2019-08-01 14:00:00+00:00,bearish,1.10326,1.10536,1.09801,0.0020999999999999908,100.0,loss,0.27619047619038356
2019-08-08,Thursday,london,2019-08-08 07:00:00+00:00,2019-08-08 10:00:00+00:00,bullish,1.12173,1.12006,1.1259049999999995,0.0016699999999998383,14.390421577918136,loss,0.6167664670659797
2019-08-08,Thursday,ny,2019-08-08 11:00:00+00:00,2019-08-08 14:00:00+00:00,bearish,1.1188,1.12276,1.1089000000000002,0.0039599999999999635,40.249021698768125,loss,0.1742424242424459
2019-08-12,Monday,london,2019-08-12 07:00:00+00:00,2019-08-12 12:00:00+00:00,bearish,1.11676,1.12111,1.1058849999999998,0.004350000000000076,47.1094883102147,loss,0.13103448275860907
2019-08-14,Wednesday,ny,2019-08-14 13:00:00+00:00,2019-08-15 14:00:00+00:00,bearish,1.11571,1.11797,1.1100600000000003,0.0022599999999999287,77.24666428690604,win,10.0
2019-08-15,Thursday,ny,2019-08-15 13:00:00+00:00,2019-08-25 22:00:00+00:00,bearish,1.11123,1.11583,1.0997299999999997,0.0046000000000001595,77.24666428690604,loss,1.3195652173912629
2019-08-16,Friday,london,2019-08-16 07:00:00+00:00,2019-08-19 10:00:00+00:00,bearish,1.10855,1.11121,1.1018999999999997,0.0026600000000001067,85.98052023615492,loss,0.7255639097744022
2019-08-20,Tuesday,london,2019-08-20 07:00:00+00:00,2019-08-20 14:00:00+00:00,bearish,1.10719,1.10884,1.1030649999999995,0.0016500000000001513,85.98052023615492,loss,0.3878787878787365
2019-08-27,Tuesday,london,2019-08-27 07:00:00+00:00,2019-08-27 13:00:00+00:00,bullish,1.11091,1.10982,1.1136350000000002,0.0010900000000000354,14.665163145691299,loss,0.6238532110091668
2019-08-28,Wednesday,ny,2019-08-28 12:00:00+00:00,2019-08-30 06:00:00+00:00,bearish,1.10815,1.10978,1.104075,0.0016300000000000203,47.28619557811611,win,9.539877300613348
2019-08-29,Thursday,london,2019-08-29 08:00:00+00:00,2019-08-29 14:00:00+00:00,bearish,1.10763,1.10858,1.1052549999999999,0.0009500000000000064,47.28619557811611,loss,2.15789473684197
2019-08-30,Friday,london,2019-08-30 06:00:00+00:00,2019-08-30 17:00:00+00:00,bearish,1.10377,1.10603,1.0981199999999995,0.0022600000000001508,85.98052023615492,win,4.942477876105822
2019-09-02,Monday,london,2019-09-02 06:00:00+00:00,2019-09-03 00:00:00+00:00,bearish,1.09823,1.09931,1.0955300000000001,0.0010799999999999699,100.0,win,5.212962962963131
